Camarão Rio Grande grande cozido com adição de sal,Unidade grande,30,gramas,90,79,0,19.0,1.0,0.4,NULL,519,NULL,90,1.3,20,102,19,NULL,NULL,1.07
Camarão Sete Barbas sem cabeça com casca frito com adição de pouco sal,Unidade grande,30,gramas,231,61,3,18.4,15.6,2.5,NULL,278,NULL,960,2.4,NULL,107,74,0.05,NULL,0.35
Camarão Sete Barbas sem cabeça com casca frito sem adição de sal,Unidade grande,30,gramas,231,61,3,18.4,15.6,2.5,NULL,99,NULL,960,2.4,NULL,107,74,0.05,NULL,0.35
Cachaça,Dose,30,mL,216,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Canjica branca crua,Meia xícara,100,gramas,358,14,78,7.2,1.0,0.3,5.5,1,NULL,2,0.3,NULL,93,12,NULL,NULL,NULL
Canjica preparada com leite integral,Concha cheia,120,gramas,112,72,24,2.4,1.2,0.6,1.2,28,NULL,43,0.1,NULL,70,6,NULL,0.04,NULL
Capa de contra-filé (bovino) sem gordura grelhado sem adição de sal,Unidade média,100,gramas,239,54,0,35.1,10.0,4.3,NULL,83,NULL,9,2.8,NULL,385,26,0.03,0.08,1.86
Capa de contra-filé bovino com gordura grelhado sem adição de sal,Unidade média,100,gramas,312,48,0,30.7,20.0,8.8,NULL,81,NULL,7,2.6,NULL,323,18,NULL,0.06,1.74
Capuccino em pó,Colher de sopa,20,gramas,417,3,74,11.3,8.6,4.0,2.4,382,NULL,467,2.3,52,886,71,NULL,1.41,NULL
Caqui,Unidade média,110,gramas,71,80,19,0.4,0.1,NULL,6.5,2,29.6,18,0.1,NULL,164,9,NULL,NULL,NULL
Cará cozido com adição de sal,Pedaço médio,100,gramas,78,79,19,1.5,0.1,NULL,2.6,188,NULL,5,0.3,NULL,203,15,0.12,NULL,NULL
Cará cozido sem adição de sal,Pedaço médio,100,gramas,78,79,19,1.5,0.1,NULL,2.6,1,NULL,5,0.3,NULL,203,15,0.12,NULL,NULL
Carambola,Unidade,130,gramas,46,87,11,0.9,0.2,NULL,2.0,4,60.9,5,0.2,NULL,133,7,0.12,NULL,NULL
Carangueijo cozido com adição de sal,Unidade,110,gramas,83,77,0,18.5,0.4,0.2,NULL,538,NULL,357,2.9,NULL,186,52,0.04,0.31,4.17
Carangueijo cozido sem adição de sal,Unidade,110,gramas,83,77,0,18.5,0.4,0.2,NULL,360,NULL,357,2.9,NULL,186,52,0.04,0.31,4.17
Maminha (carne bovina) grelhada com adição de pouco sal,Fatia média,100,gramas,153,65,0,30.7,2.4,9.7,NULL,237,NULL,4,2.4,NULL,386,21,NULL,0.04,1.46
Carne bovina moída (acem) cozido sem adição de sal,Colher de sopa,25,gramas,212,62,0,26.7,10.9,4.8,NULL,52,NULL,4,2.7,NULL,256,17,NULL,0.32,1.76
Carne seca (bovina) cozida,Pedaço médio,65,gramas,313,47,0,26.9,21.9,10.5,NULL,1943,NULL,13,1.9,NULL,86,12,NULL,0.06,2.32
Caruru cru,Colher de sopa,25,gramas,34,88,6,3.2,0.6,0.1,4.5,14,5.4,455,4.5,953,279,197,NULL,0.10,NULL
Castanha-de-caju torrada com pouco sal,Unidade média,2.5,gramas,570,3,29,18.5,46.3,7.7,3.7,125,NULL,33,5.2,NULL,671,237,0.29,0.05,NULL
Castanha-do-Brasil crua,Unidade média,4,gramas,643,4,15,14.5,63.5,15.3,7.9,1,NULL,146,2.3,NULL,651,365,0.30,NULL,NULL
Catalonha crua,Folha média,12,gramas,24,92,5,1.9,0.3,0.1,2.0,9,7.3,57,3.1,NULL,412,17,NULL,0.03,1.54
Catalonha refogada sem adição de sal,Colher de sopa,20,gramas,63,87,5,2.0,4.8,0.7,3.7,25,NULL,63,1.2,425,452,16,0.04,NULL,0.60
Cebola crua,Colher de sopa,10,gramas,39,89,9,1.7,0.1,NULL,2.2,1,4.7,14,0.2,NULL,176,12,0.04,NULL,NULL
Cebolinha crua,Colher de sopa,10,gramas,20,94,3,1.9,0.4,NULL,3.6,2,31.8,80,0.6,67,206,25,0.03,0.04,NULL
Cenoura cozida sem sal,Colher de sopa,25,gramas,30,92,7,0.8,0.2,NULL,2.6,8,NULL,26,0.1,306,176,14,0.07,NULL,2.68
Cenoura crua ralada,Colher de sopa,12,gramas,34,90,8,1.3,0.2,NULL,3.2,3,5.1,23,0.2,663,315,11,NULL,NULL,NULL
Cereal matinal de milho com açúcar,Xícara,40,gramas,377,4,89,4.7,0.7,0.2,2.1,405,14.6,56,3.9,15,52,8,0.73,1.11,10.13
Cereal matinal de milho sem açúcar,Xícara,40,gramas,365,6,84,7.2,1.0,0.4,4.1,655,17.3,143,3.1,15,83,11,0.76,1.02,11.04
Cerveja pilsen,Copo duplo,240,mL,41,92,3,0.6,NULL,NULL,NULL,4,NULL,5,NULL,NULL,29,7,NULL,NULL,2.92
Chá de erva-doce infusão 5%,xicará de chá,200,mL,1,100,0,0.0,0.0,NULL,NULL,1,NULL,2,NULL,NULL,10,1,1.23,0.23,NULL
Chá mate infusão 5%,xicará de chá,200,mL,3,99,1,0.0,0.1,NULL,NULL,NULL,NULL,1,NULL,NULL,5,2,0.89,NULL,NULL
Chá preto infusão 5%,xicara de chá,200,mL,2,99,1,0.0,0.0,NULL,NULL,NULL,NULL,0,NULL,NULL,13,1,3.11,0.48,NULL
Chantilly spray com gordura vegetal,Colher de sopa,25,gramas,315,55,17,0.5,27.3,25.9,NULL,110,NULL,2,NULL,NULL,5,1,0.07,NULL,NULL
Charque (carne bovina) cozido,Pedaço médio,35,gramas,263,46,0,36.4,11.9,4.8,NULL,1443,NULL,15,3.5,NULL,90,13,0.05,0.07,1.50
Charuto de repolho preparado com adição de pouco sal,Unidade pequena,15,gramas,78,82,10,6.8,1.1,0.5,1.5,336,4.8,23,0.9,NULL,184,13,0.03,NULL,0.32
Charuto de repolho preparado sem adição de sal,Unidade pequena,15,gramas,78,82,10,6.8,1.1,0.5,1.5,12,4.8,23,0.9,NULL,184,13,0.03,NULL,0.32
Chicória crua,Folha média,12,gramas,14,95,3,1.1,0.1,NULL,2.2,14,6.5,45,0.5,NULL,425,14,0.03,0.10,0.68
Chocolate ao leite,Barra pequena,30,gramas,540,1,60,7.2,30.3,17.5,2.2,77,NULL,191,1.6,NULL,355,57,0.05,0.22,0.63
Chocolate ao leite com castanha do Pará,Barra pequena,30,gramas,559,1,55,7.4,34.2,14.1,2.5,64,1.4,171,1.5,36,431,80,0.04,0.24,1.37
Chocolate ao leite dietético,Barra pequena,30,gramas,557,2,56,6.9,33.8,19.2,2.8,85,2.0,188,3.3,7,458,67,0.31,0.25,0.79
Chocolate meio amargo,Barra pequena,30,gramas,475,1,62,4.9,29.9,13.1,4.9,9,2.1,45,3.6,NULL,432,107,0.20,0.04,1.06
Chuchu cozido com adição de pouco sal,Colher de sopa,20,gramas,19,95,5,0.4,NULL,NULL,1.0,129,5.6,8,0.1,NULL,54,7,0.03,NULL,NULL
Chuchu cozido sem adição de sal,Colher de sopa,20,gramas,19,95,5,0.4,NULL,NULL,1.0,2,5.6,8,0.1,NULL,54,7,0.03,NULL,NULL
Cireguela,Unidade,8,gramas,76,79,19,1.4,0.4,0.2,3.9,2,27.0,27,0.4,NULL,248,18,0.14,NULL,NULL
Cocada branca,Unidade,70,gramas,449,3,81,1.1,13.6,8.4,3.6,29,NULL,7,1.2,NULL,183,17,NULL,NULL,0.47
Coco cru,Porção média,100,gramas,406,43,10,3.7,42.0,30.0,5.4,15,2.5,6,1.8,NULL,354,51,NULL,NULL,NULL
Coco verde cru,Porção média,100,gramas,NULL,NULL,NULL,NULL,NULL,3.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Coentro folhas desidratadas,Colher de café,5,gramas,309,11,48,20.9,10.4,NULL,37.3,18,40.8,784,81.4,NULL,3223,393,0.10,0.11,NULL
